,precision,recall,f1-score,support
anger,0.0,0.0,0.0,19.0
boredom,0.0,0.0,0.0,31.0
empty,0.0,0.0,0.0,162.0
enthusiasm,0.0,0.0,0.0,163.0
fun,0.18181818181818182,0.047337278106508875,0.07511737089201878,338.0
happiness,0.3402061855670103,0.3852140077821012,0.3613138686131387,1028.0
hate,0.45,0.13432835820895522,0.20689655172413793,268.0
love,0.4701130856219709,0.38188976377952755,0.4214337436640116,762.0
neutral,0.353030303030303,0.535632183908046,0.42557077625570777,1740.0
relief,0.4166666666666667,0.04261363636363636,0.07731958762886598,352.0
sadness,0.30708661417322836,0.2609942638623327,0.28217054263565894,1046.0
surprise,0.30526315789473685,0.06823529411764706,0.11153846153846154,425.0
worry,0.32746331236897275,0.4687875150060024,0.38558380646753887,1666.0
accuracy,0.346125,0.346125,0.346125,0.346125
macro avg,0.24243442362623618,0.17884863854882752,0.1805342084168877,8000.0
weighted avg,0.33093192354224205,0.346125,0.3157559522107265,8000.0
